1 ; Turkey Burritos ; tortillas piled high with turkey chili \ dish in Mexican and Tex-Mex cuisine that consists of a flour tortilla with various other ingredients \ wrapped into a closed-ended cylinder that can be picked up \ medium spicy ; Mexican ; 454 grams JENNIE-O Lean Ground Turkey \ 128 grams Salsa \ 8 Flour tortillas \ 80 grams Chopped onion \ Cheese \ Salsa \ 57 grams Shredded cheddar cheese (divided) \ 425 grams HORMEL Turkey Chili No Beans \ 1 Green bell pepper (chopped) ; 1 : Cook turkey as specifed on the package. Always cook to well done, 165F as measured by a meat thermometer. Add onion and bell pepper. 2 : Stir in chili and salsa. Bring to a boil. Reduce heat. Cook 7 minutes or until thoroughly heated. Spoon turkey mixture down center of each tortilla. Top with cheese. Fold up tortilla to enclose mixture. 3 : Top with queso, pico de gallo and avocado, if desired. ; 30min ; https://images.media-allrecipes.com/userphotos/250x250/710781.jpg
2 ; Tacos Al Pastor ; pineapple and pork tacos \ dish developed in central Mexico that is based on shawarma split-grilled meat \ similar to the Turkish doner kebab and the Greek gyros \ traditional Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling \ eaten without utensils, often garnished with salsa, chili pepper, avocado, guacamole, cilantro, tomatoes, onions, and lettuce ; Mexican ; 1 large white onion (halved) \ 1 pineapple (peeled), cut crosswise into 1/2-inch-thick rounds \ 1/2 cup fresh orange juice \ 1/4 cup distilled white vinegar \ 1/4 cup guajillo chile powder \ 3 garlic cloves (halved) \ 2 teaspoons coarse kosher salt \ 1 teaspoon dried oregano (preferably Mexican) \ 1 teaspoon ground cumin \ 1 large or 2 small chipotle chiles and 1 to 2 teaspoons adobo from canned chipotle chiles in adobo \ 1 2 1/2-to-3-pound boneless pork loin, cut into 1/2-inch slices \ 1/4 cup chopped fresh cilantro \ corn tortillas \ smoky two-chile salsa \ lime wedges ; 1 : Coarsely chop 1 onion half. Coarsely chop 2 pineapple rounds, discarding core, cover and chill remaining pineapple. Place chopped onion and chopped pineapple in blender. Add orange juice and next 7 ingredients, puree marinade until smooth. Place pork in large resealable plastic bag. Add marinade and seal bag, releasing excess air. Turn to coat. Chill at least 4 hours and up to 1 day. 2 : Prepare barbecue (medium-high heat). Grill remaining pineapple until warm and slightly charred, 4 to 6 minutes per side. Grill pork with some marinade still clinging until slightly charred and cooked through, 2 to 4 minutes per side. Transfer pineapple and pork to work surface, chop pineapple into 1/2-inch cubes, discarding cores. Chop pork. Transfer to platter, toss to combine. 3 : Meanwhile, finely chop remaining onion half and place in medium bowl. Add cilantro, toss to combine. Grill tortillas until warm and slightly charred, about 10 seconds per side. 4 : Serve pork-pineapple mixture with onion-cilantro relish, Smoky Two-Chile Salsa, and lime wedges. ; 40min ; https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/singleimagebug-tacos-al-pastor-pin-1549577151.jpg
3 ; Shrimp Egg Rolls ; fried take-out dish \ deep-fried appetizers \ cylindrical, savory roll with shredded cabbage, chopped pork, and other fillings inside a thickly-wrapped wheat flour skin, which is fried in hot oil \ served warm \ eaten with the fingers ; American ; 1 cup vegetable oil \ 1 pound medium shrimp, peeled, deveined and roughly chopped \ 3 cups coleslaw mix \ 1/2 cup bean sprouts \ 1 stalk celery, diced \ 2 green onions, thinly sliced \ 2 cloves garlic, minced \ 1 tablespoon reduced sodium soy sauce \ 1 tablespoon oyster sauce \ 1 tablespoon freshly grated ginger \ 1 teaspoon sesame oil \ 1 teaspoon Sriracha, optional \ 18 egg roll wrappers ; 1 : Heat vegetable oil in a large skillet or Dutch oven over medium high heat. 2 : In a medium bowl, combine shrimp, coleslaw mix, bean sprouts, celery, green onions, garlic, soy sauce, oyster sauce, ginger, sesame oil and Sriracha. 3 : Working one at a time, place shrimp mixture in the center of each wrapper. Bring the bottom edge of the wrapper tightly over the filling, folding in the sides. Continue rolling until the top of the wrapper is reached. Using your finger, rub the edges of the wrapper with water, pressing to seal. Repeat with remaining wrappers and shrimp mixture.* 4 : Working in batches, add egg rolls to the Dutch oven and fry until evenly golden brown and crispy, about 2-3 minutes. Transfer to a paper towel-lined plate. 5 : Serve immediately. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2016/06/ShrimpEggRollsIMG_8613edit.jpg
4 ; Instant Pot Chicken Tortilla Soup ; soup with crispiest tortilla strips \ delicious, quick, and easy dinner option that you will put together in no time \ hearty version of chicken tortill asoup made in the Instant Pot ; Mexican ; 6 (6-inch) corn tortillas, sliced in half and cut crosswise into 1/4-inch strips \ 3 tablespoons olive oil, divided \ 1 sweet onion, diced \ 1 poblano pepper, seeded and diced \ 3 cloves garlic, minced \ 2 tablespoons tomato paste \ 1 tablespoon chili powder \ 1 1/2 teaspoons ground cumin \ 1 teaspoon dried oregano \ 2 (10-ounce) cans diced tomatoes with green chilies \ 2 pounds boneless, skinless chicken thighs \ 4 cups chicken stock, Kosher salt and freshly ground black pepper, to taste \ 1/2 cup chopped fresh cilantro leaves \ 1 avocado, halved, seeded, peeled and thinly sliced ; 1 : Preheat oven to 350 degrees F. Lightly oil a baking sheet or coat with nonstick spray. 2 : In a large bowl, combine tortillas and 1 tablespoon olive oil. Place tortillas in a single layer onto the prepared baking sheet. Place into oven bake until golden brown and crisp, about 10-15 minutes, set aside and let cool completely. 3 : Set 6-qt Instant Pot® to the high saute setting. Add remaining 2 tablespoons olive oil, onion and pepper. Cook, stirring occasionally, until golden, about 4-5 minutes. 4 : Stir in garlic, tomato paste, chili powder, cumin and oregano until fragrant, about 1 minute. 5 : Stir in tomatoes, scraping any browned bits from the bottom of the pot. 6 : Stir in chicken and chicken stock, season with salt and pepper, to taste. Select manual setting, adjust pressure to high, and set time for 10 minutes. When finished cooking, quick-release pressure according to manufacturer’s directions. Remove chicken from the Instant Pot® and shred, using two forks. 7 : Stir in chicken and cilantro until heated through, about 1 minute. 8 : Serve immediately, topped with tortilla strips and avocado. ; 40min ; https://s23209.pcdn.co/wp-content/uploads/2018/11/Instant-Pot-Chicken-Tortilla-SoupIMG_7161.jpg
5 ; Slow Cooker Quinoa Enchilada Casserole ; healthy enchilada bake \ cheesy, protein-packed crock pot meal \ healthy, perfect for cooking for crowds in general \ loaded with protein, fibre, and lots of wholesome vegetables ; Mexican ; 2 boneless \ skinless chicken breasts \ 1 1/4 cups chicken broth \ 1 cup uncooked quinoa, rinsed, 1 (10-ounce) can enchilada sauce \ 1 (4.5-ounce) can chopped green chilies \ 1/2 cup corn kernels, frozen, canned or roasted \ 1/2 cup canned black beans, drained and rinsed \ 2 tablespoons chopped fresh cilantro leaves \ 1/2 teaspoon cumin \ Kosher salt and freshly ground black pepper, to taste \ 3/4 cup shredded cheddar cheese \ 3/4 cup shredded mozzarella cheese \ 1 avocado, halved, seeded, peeled and diced \ 1 Roma tomato, diced ; 1 : Place chicken into a 6-qt slow cooker. 2 : Stir in chicken broth, quinoa, enchilada sauce, green chiles, corn, black beans, cilantro, cumin and chili powder, season with salt and pepper, to taste. Cover and cook on low heat for 4-6 hours, or until liquid is reduced. 3 : Remove chicken from the slow cooker and shred, using two forks. 4 : Stir chicken into the slow cooker, top with cheeses. Cover and cook on low heat for an additional 10-20 minutes, or until the cheeses have melted. 5 : Serve immediately, garnished with avocado and tomato, if desired. ; 6.5hr ; https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-enchilada-chicken-pinterest-still001-1533073454.jpg
6 ; Breakfast Taquitos ; freezer-friendly breakfast taquitos \ crispy on the outside and loaded with flavorful breakfast ingredients on the inside \ crispy and cheesy \ dish consisting of a small rolled up tortilla with some sort of filling such as beef, chicken, and cheese ; Mexican ; 10-12 corn tortillas, softened \ 3 large eggs, scrambled \ 6 ounces spicy Italian sausage, crumbled \ 1/4 cup julienned sun dried tomatoes, drained \ 1 avocado, halved, seeded, peeled and diced \ 1 cup shredded sharp cheddar cheese ; 1 : Preheat oven to 425 degrees F. Line a baking sheet with parchment paper, set aside. 2 : Working one at a time, transfer tortilla to a work surface, place eggs, sausage, sun dried tomatoes, avocado and cheddar cheese in the center of each wrapper. Bring the bottom edge of the tortilla tightly over the filling, rolling from bottom to top until the top of the tortilla is reached. Repeat with remaining tortilla and filling. 3 : Place taquitos seam side down onto prepared baking sheet and bake until taquitos are crisp and cheese has melted, about 12-15 minutes. 4 : Serve immediately. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2013/06/IMG_7906edit.jpg
7 ; Mexican Street Corn Nachos ; Mexican nachos with roasted corn, lime, chili powder and Mexican crema \ Tortilla chips topped a creamy monterey jack cheese sauce, toasted corn, crumbled cotija, chili powder and cilantro \ chips loaded up with all the flavors of a classic mexican street corn and smothered with a creamy, spicy queso blanco ; Mexican ; 3 cups corn kernels, frozen, canned or roasted \ 1 jalapeno, seeded and minced \ 1/4 cup mayonnaise \ 1 1/2 teaspoons chili powder \ 3/4 teaspoon smoked paprika \ Juice of 1 lime \ Zest of 1 lime \ Kosher salt and freshly ground black pepper, to taste \ 1 (11-ounce) package tortilla chips \ 1 (8-ounce) package shredded Pepper Jack cheese \ 1 cup crumbled cotija cheese \ 1/4 cup Mexican crema* \ 1/4 cup chopped fresh cilantro leaves ; 1 : Preheat oven to 400 degrees F. Lightly oil a baking sheet or coat with nonstick spray. 2 : In a large bowl, combine corn, jalapeno, mayonnaise, chili powder, paprika, lime juice and lime zest, season with salt and pepper, to taste. 3 : Place tortilla chips in a single layer onto the prepared baking sheet. Top with half the cheeses and corn mixture. Sprinkle with remaining cheeses. 4 : Place into oven and bake until heated through and the cheeses have melted, about 10-13 minutes. 5 : Serve immediately, drizzled with Mexican crema and garnished with cilantro and additional smoked paprika, if desired. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2018/07/Mexican-Street-Corn-NachosIMG_5716.jpg
8 ; One Pot Mexican Skillet Pasta ; one-pot-skillet-kind-of-pasta, loaded with cheesy goodness, freshly made salsa, corn, beans, tomato, avocado and ground turkey \ Mexican pasta dish \ pasta cooked right in the pot ; Mexican ; 1 tablespoon olive oil \ 1 pound ground turkey \ 2 cups uncooked elbows pasta \ 2 cups salsa, homemade or store-bought \ 1 1/2 cups chicken broth \ 1 (15-ounce) can tomato sauce \ 1 Roma tomato, diced \ 1 cup corn kernels, frozen, canned or roasted \ 1 cup canned black beans, rinsed \ 1/2 cup shredded cheddar cheese \ 1 avocado, halved, seeded, peeled and diced \ 2 tablespoons chopped fresh cilantro leaves ; 1 : Heat olive oil in a saucepan over medium high heat. Add ground turkey and cook until browned, about 3-5 minutes, making sure to crumble the beef as it cooks, drain excess fat. 2 : Stir in pasta, salsa, chicken broth and tomato sauce. Bring to a boil, cover, reduce heat and simmer until pasta is cooked through, about 13-16 minutes. 3 : Stir in tomato, corn and black beans, and gently toss to combine. Stir in cheese until melted through, about 1-2 minutes. 4 : Serve immediately, topped with avocado and cilantro. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2013/09/IMG_2083edit-copy.jpg
9 ; Creamy Taco Shells ; weeknight meal with hamburger meat and taco flavor goodness \ the deliciousness of a taco in a comforting pasta casserole \ cheesy, ooey-gooey and addicting one pot meal perfect for any night of the week \ ground turkey and pasta shells ; Mexican ; 8 ounces medium pasta shells \ 1 tablespoon olive oil \ 1 pound ground beef \ 1/2 medium sweet onion, diced \ 1 small poblano pepper, diced \ 3 cloves garlic, minced \ 1 1/2 teaspoons chili powder \ 3/4 teaspoon ground cumin \ 2 tablespoons all-purpose flour \ 2 cups beef stock \ 1 (15-ounce) can tomato sauce \ 3/4 cup heavy cream \ 1/3 cup chopped fresh cilantro leaves \ Kosher salt and freshly ground black pepper, to taste \ 6 ounces shredded extra-sharp cheddar cheese, about 1 1/2 cups \ 1 Roma tomato, diced ; 1 : In a large pot of boiling salted water, cook pasta according to package instructions, drain well. 2 : Heat olive oil in a large skillet over medium high heat. Add ground beef and cook until browned, about 3-5 minutes, making sure to crumble the beef as it cooks, drain excess fat. Set aside. 3 : Add onion and poblano, and cook, stirring frequently, until tender, about 2-3 minutes. Stir in garlic, chili powder and cumin until fragrant, about 1 minute. 4: Whisk in flour until lightly browned, about 1 minute. 5 : Gradually whisk in beef stock and tomato sauce. Bring to a boil, reduce heat and simmer, stirring occasionally, until reduced and slightly thickened, about 6-8 minutes. 6 : Stir in pasta, beef, heavy cream and cilantro until heated through, about 1-2 minutes, season with salt and pepper, to taste. Stir in cheese until melted, about 2 minutes. 7 : Serve immediately, topped with tomatoes. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2018/12/Creamy-Taco-ShellsIMG_7349.jpg
10 ; Beef Enchilada Dip ; meaty, cheesay enchilada dip \ packed with flavor with ingredients like beef, onions, enchilada sauce, and a whole lot of cheese \ creamy, cheesy and full of the Mexican flabors \ yummy twist on Mexican night that's whipped up in just minutes for an easy appetizer \ creamy, cheesy ; Mexican ; 1 tablespoon olive oil \ 1 pound ground beef \ 1 1/2 cups enchilada sauce \ 1 cup roasted corn kernels \ 1 (4.5-ounce) can chopped green chiles \ 1 cup shredded Monterey Jack cheese, divided \ 1 cup shredded cheddar cheese, divided \ Kosher salt and freshly ground black pepper, to taste \ Tortilla chips, for serving ; 1 : Preheat oven to 400 degrees F. Lightly oil two 10-ounce ramekins or coat with nonstick spray. 2 : Heat olive oil in a saucepan over medium high heat. Add ground beef and cook until browned, about 3-5 minutes, making sure to crumble the beef as it cooks, drain excess fat. Stir in enchilada sauce, corn, chiles, 1/2 cup Monterey Jack cheese and 1/2 cup cheddar cheese, season with salt and pepper, to taste. 3 : Divide the filling evenly into the ramekins and top with remaining cheeses. 4 : Place into oven and bake until bubbly around the edges, about 5 minutes. Let cool 5 minutes before serving. ; 15min ; https://s23209.pcdn.co/wp-content/uploads/2013/10/IMG_4156edit-copy.jpg
11 ; Caprese Avocado Salad ; salad with fresh mozzarella, cherry tomatoes, basil and avocado \ caprese salad with creamy avocado slices \ classic Caprese flavour combination of tomato, fresh mozzarella and basil, with an optional balsamic reduction \ fresh, colorful, summer salad ; Italian ; 1/2 cup balsamic vinegar \ 2 tablespoons brown sugar, packed \ 1 tablespoon olive oil \ 2 boneless, skinless thin-sliced chicken breasts \ Kosher salt and freshly ground black pepper, to taste \ 6 cups chopped romaine lettuce \ 6 ounces ovaline fresh mozzarella \ 1 cup cherry tomatoes, halved \ 1 avocado, halved, seeded, peeled and diced \ 1/4 cup basil leaves, chiffonade ; 1 : To make the balsamic reduction, add balsamic vinegar and brown sugar to a small saucepan over medium heat. Bring to a slight boil and reduce by half, about 6-8 minutes, set aside and let cool. 2 : Heat olive oil in a medium skillet over medium high heat. 3 : Season chicken breasts with salt and pepper, to taste. Add to skillet and cook, flipping once, until cooked through, about 3-4 minutes per side. Let cool before dicing into bite-size pieces. 4 : To assemble the salad, place romaine lettuce in a large bowl, top with chicken, mozzarella, tomatoes, avocado and basil. Pour balsamic reduction on top of the salad and gently toss to combine. ; 30min ; https://s23209.pcdn.co/wp-content/uploads/2014/05/IMG_0165edit.jpg
